name	chr_name	hg19_start	hg19_end	DLBCL_total	DLBCL_mut	DLBCL_pc	FL_total	FL_mut	FL_pc	CLL_total	CLL_mut	CLL_pc	BL_total	BL_mut	BL_pc
KLHL21_TSS	chr1	6661482	6662702	610	37	6.07	463	6	1.3	213	1	0.47	259	5	1.93
ID3_TSS	chr1	23885584	23885835	610	9	1.48	463	3	0.65	213	0	0	259	120	46.33
RCC1_TSS	chr1	28832551	28836339	610	66	10.82	463	33	7.13	213	1	0.47	259	17	6.56
LAPTM5_TSS	chr1	31229012	31232011	610	47	7.7	463	26	5.62	213	0	0	259	7	2.7
MCL1_intron	chr1	150550814	150552135	610	38	6.23	463	9	1.94	213	2	0.94	259	11	4.25
EIF2Ak3_intron	chr2	88904839	88909096	610	78	12.79	463	57	12.31	213	2	0.94	259	17	6.56
EIF2Ak3_TSS	chr2	88925456	88927581	610	18	2.95	463	21	4.54	213	2	0.94	259	18	6.95
PTMA_TSS	chr2	232572640	232574297	610	64	10.49	463	26	5.62	213	0	0	259	19	7.34
FCRL3_TSS	chr2	157669490	157671299	610	7	1.15	463	1	0.22	213	0	0	259	4	1.54
BTG2_intron	chr1	203274698	203275778	610	346	56.72	463	103	22.25	213	18	8.45	259	111	42.86
RHEX_TSS	chr1	206285239	206288105	610	64	10.49	463	10	2.16	213	6	2.82	259	0	0
ITPKB_intron	chr1	226864857	226873452	610	45	7.38	463	15	3.24	213	3	1.41	259	5	1.93
ITPKB_TSS	chr1	226920563	226927885	610	76	12.46	463	26	5.62	213	5	2.35	259	11	4.25
ITPKB_intron-1	chr1	226921088	226927982	610	76	12.46	463	26	5.62	213	5	2.35	259	11	4.25
HNRNPU_TSS	chr1	245023502	245029083	610	23	3.77	463	17	3.67	213	1	0.47	259	23	8.88
BCL11A_TSS	chr2	60773789	60783486	610	128	20.98	463	53	11.45	213	5	2.35	259	16	6.18
DUSP2_intron-1	chr2	96808901	96811913	610	102	16.72	463	21	4.54	213	2	0.94	259	16	6.18
BCL2L11_TSS	chr2	111874854	111882174	610	74	12.13	463	4	0.86	213	0	0	259	9	3.47
CXCR4_intron	chr2	136874728	136875461	610	231	37.87	463	136	29.37	213	5	2.35	259	85	32.82
RFTN1_TSS	chr3	16546433	16556786	610	182	29.84	463	100	21.6	213	2	0.94	259	37	14.29
OSBPL10_TSS-1	chr3	32020518	32024930	610	134	21.97	463	52	11.23	213	0	0	259	13	5.02
FOXP1_TSS-4	chr3	71104986	71119518	610	88	14.43	463	9	1.94	213	0	0	259	18	6.95
FOXP1_TSS-3	chr3	71176427	71180960	610	67	10.98	463	11	2.38	213	10	4.69	259	7	2.7
FOXP1_TSS-2	chr3	71350633	71357665	610	23	3.77	463	3	0.65	213	2	0.94	259	9	3.47
FOXP1_intron-1b	chr3	71503103	71504870	610	15	2.46	463	15	3.24	213	2	0.94	259	5	1.93
FOXP1_intron-1a	chr3	71550753	71551478	610	36	5.9	463	16	3.46	213	1	0.47	259	17	6.56
FOXP1_TSS-1	chr3	71626341	71635648	610	57	9.34	463	27	5.83	213	1	0.47	259	37	14.29
NFKBIZ_TSS-1	chr3	101546669	101547704	610	12	1.97	463	3	0.65	213	0	0	259	0	0
NFKBIZ_TSS-2	chr3	101568239	101569274	610	21	3.44	463	4	0.86	213	0	0	259	2	0.77
KLHL6_TSS	chr3	183269360	183274139	610	89	14.59	463	35	7.56	213	4	1.88	259	12	4.63
ST6GAL1_TSS-2	chr3	186647943	186650177	610	87	14.26	463	19	4.1	213	3	1.41	259	8	3.09
ST6GAL1_TSS-1	chr3	186739628	186740875	610	187	30.66	463	118	25.49	213	3	1.41	259	40	15.44
ST6GAL1_intron-2	chr3	186709494	186721749	610	196	32.13	463	118	25.49	213	7	3.29	259	24	9.27
ST6GAL1_intron-1	chr3	186782522	186784438	610	233	38.2	463	88	19.01	213	10	4.69	259	52	20.08
BCL6_TSS	chr3	187458526	187464632	610	479	78.52	463	338	73	213	37	17.37	259	148	57.14
BCL6_Intergenic-1	chr3	187615533	187625659	610	100	16.39	463	33	7.13	213	4	1.88	259	25	9.65
BCL6_Intergenic-2	chr3	187625659	187638101	610	96	15.74	463	32	6.91	213	1	0.47	259	31	11.97
BCL6_Intergenic-3	chr3	187657518	187665996	610	261	42.79	463	145	31.32	213	24	11.27	259	76	29.34
BCL6_Intergenic-4	chr3	187675741	187690717	610	128	20.98	463	52	11.23	213	10	4.69	259	41	15.83
BCL6_Intergenic-5	chr3	187690717	187705000	610	150	24.59	463	62	13.39	213	11	5.16	259	41	15.83
LPP_TSS-1	chr3	187771678	187801626	610	100	16.39	463	50	10.8	213	0	0	259	44	16.99
LPP_TSS-2	chr3	187801627	187813568	610	119	19.51	463	50	10.8	213	5	2.35	259	30	11.58
LPP_TSS-3	chr3	187813569	187955254	610	271	44.43	463	136	29.37	213	22	10.33	259	108	41.7
LPP_TSS-4	chr3	187955255	187969220	610	237	38.85	463	169	36.5	213	13	6.1	259	66	25.48
LPP_TSS-5	chr3	188261523	188327097	610	165	27.05	463	65	14.04	213	12	5.63	259	68	26.25
LPP_intron-1	chr3	188377178	188401951	610	48	7.87	463	15	3.24	213	3	1.41	259	21	8.11
LPP_intron-2	chr3	188401952	188461879	610	164	26.89	463	65	14.04	213	14	6.57	259	48	18.53
LPP_intron-3	chr3	188461880	188474683	610	152	24.92	463	76	16.41	213	13	6.1	259	43	16.6
LPP_intron-4	chr3	188474684	188491248	610	53	8.69	463	15	3.24	213	4	1.88	259	11	4.25
SEL1L3_TSS	chr4	25861094	25868788	610	156	25.57	463	94	20.3	213	5	2.35	259	32	12.36
RHOH_TSS	chr4	40193105	40204231	610	342	56.07	463	257	55.51	213	7	3.29	259	70	27.03
MEF2C_TSS-3	chr5	88131209	88174373	610	81	13.28	463	47	10.15	213	4	1.88	259	32	12.36
MEF2C_TSS-2	chr5	88174374	88182243	610	53	8.69	463	30	6.48	213	5	2.35	259	15	5.79
MEF2C_TSS-1	chr5	88182244	88206620	610	45	7.38	463	19	4.1	213	4	1.88	259	14	5.41
IRF1_TSS	chr5	131823933	131826458	610	42	6.89	463	7	1.51	213	1	0.47	259	6	2.32
CD74_TSS	chr5	149790977	149792349	610	119	19.51	463	58	12.53	213	2	0.94	259	10	3.86
EBF1_TSS	chr5	158500476	158532769	610	168	27.54	463	84	18.14	213	6	2.82	259	37	14.29
IRF4_TSS	chr6	390572	394093	610	88	14.43	463	1	0.22	213	5	2.35	259	4	1.54
CD83_TSS	chr6	14118026	14120025	610	166	27.21	463	72	15.55	213	3	1.41	259	11	4.25
RNF144B_TSS	chr6	25861094	25868788	610	17	2.79	463	2	0.43	213	2	0.94	259	13	5.02
LTB_intron-1	chr6	31548325	31550717	610	162	26.56	463	124	26.78	213	9	4.23	259	34	13.13
PIM1_TSS	chr6	37138104	37139804	610	187	30.66	463	87	18.79	213	1	0.47	259	13	5.02
BACH2_TSS	chr6	90981034	91016134	610	304	49.84	463	220	47.52	213	21	9.86	259	186	71.81
UBE2J1_TSS	chr6	90059730	90063703	610	69	11.31	463	20	4.32	213	0	0	259	13	5.02
SGK1_TSS-1	chr6	134487960	134499859	610	141	23.11	463	47	10.15	213	0	0	259	25	9.65
EZR_TSS	chr6	159237903	159240216	610	79	12.95	463	56	12.1	213	6	2.82	259	15	5.79
ACTB_TSS	chr7	5568297	5570856	610	106	17.38	463	49	10.58	213	2	0.94	259	11	4.25
BLK_TSS	chr8	11347723	11355318	610	132	21.64	463	58	12.53	213	7	3.29	259	37	14.29
MYC_TSS	chr8	128748352	128749427	610	106	17.38	463	2	0.43	213	0	0	259	213	82.24
PAX5_intron-1	chr9	37023396	37027663	610	312	51.15	463	221	47.73	213	11	5.16	259	35	13.51
PAX5_TSS-1	chr9	37029849	37037154	610	160	26.23	463	82	17.71	213	3	1.41	259	31	11.97
ZCCHC7_intron-4	chr9	37192080	37207549	610	121	19.84	463	78	16.85	213	9	4.23	259	36	13.9
ZCCHC7_intron-2	chr9	37275952	37306152	610	148	24.26	463	97	20.95	213	13	6.1	259	49	18.92
ZCCHC7_intron-3	chr9	37312655	37328260	610	110	18.03	463	42	9.07	213	2	0.94	259	44	16.99
ZCCHC7_intron-1	chr9	37329706	37340398	610	142	23.28	463	97	20.95	213	7	3.29	259	34	13.13
PAX5_distal-enhancer-1	chr9	37369209	37372160	610	182	29.84	463	130	28.08	213	17	7.98	259	55	21.24
PAX5_distal-enhancer-2	chr9	37382267	37385854	610	137	22.46	463	89	19.22	213	2	0.94	259	14	5.41
PAX5_distal-enhancer-3	chr9	37395932	37409239	610	285	46.72	463	211	45.57	213	20	9.39	259	56	21.62
GRHPR_TSS	chr9	37423010	37425279	610	86	14.1	463	6	1.3	213	0	0	259	2	0.77
FAM102A_TSS	chr9	130740362	130744800	610	66	10.82	463	24	5.18	213	0	0	259	16	6.18
FNBP1_TSS	chr9	132800698	132805491	610	105	17.21	463	56	12.1	213	1	0.47	259	11	4.25
FANK1_TSS	chr10	127578912	127591133	610	17	2.79	463	4	0.86	213	0	0	259	17	6.56
WEE1_intron	chr11	9595246	9599502	610	58	9.51	463	14	3.02	213	4	1.88	259	11	4.25
CD44_TSS	chr11	35156769	35164248	610	41	6.72	463	3	0.65	213	1	0.47	259	10	3.86
MS4A1_TSS	chr11	60223385	60225310	610	57	9.34	463	21	4.54	213	0	0	259	1	0.39
NEAT1_ncRNA	chr11	65190369	65192380	610	126	20.66	463	35	7.56	213	4	1.88	259	21	8.11
MALAT1_ncRNA	chr11	65265237	65268359	610	149	24.43	463	52	11.23	213	6	2.82	259	21	8.11
BIRC3_TSS	chr11	102188170	102190077	610	211	34.59	463	116	25.05	213	6	2.82	259	43	16.6
POU2AF1_TSS	chr11	111248078	111250224	610	124	20.33	463	126	27.21	213	4	1.88	259	30	11.58
CXCR5_TSS	chr11	118754458	118756514	610	61	10	463	14	3.02	213	1	0.47	259	9	3.47
ETS1_intron	chr11	128339774	128345731	610	45	7.38	463	21	4.54	213	2	0.94	259	7	2.7
ETS1_TSS-2	chr11	128388492	128394163	610	163	26.72	463	70	15.12	213	1	0.47	259	44	16.99
AICDA_TSS	chr12	8762328	8765099	610	106	17.38	463	32	6.91	213	5	2.35	259	4	1.54
ETV6_TSS	chr12	11796001	11812968	610	98	16.07	463	15	3.24	213	3	1.41	259	19	7.34
LRMP_TSS	chr12	25204045	25213569	610	220	36.07	463	106	22.89	213	6	2.82	259	41	15.83
BTG1_TSS	chr12	92537999	92539598	610	181	29.67	463	82	17.71	213	4	1.88	259	10	3.86
DTX1_TSS	chr12	113492311	113497546	610	286	46.89	463	153	33.05	213	14	6.57	259	85	32.82
BCL7A_TSS	chr12	122456912	122464036	610	374	61.31	463	322	69.55	213	17	7.98	259	130	50.19
C13orf18_TSS	chr13	46957278	46963342	610	175	28.69	463	58	12.53	213	6	2.82	259	39	15.06
TBC1D4_intron	chr13	75982519	75986015	610	61	10	463	26	5.62	213	1	0.47	259	14	5.41
ZFP36L1_TSS	chr14	69257848	69259739	610	261	42.79	463	139	30.02	213	12	5.63	259	54	20.85
SERPINA9_TSS	chr14	94940587	94942549	610	135	22.13	463	56	12.1	213	6	2.82	259	22	8.49
TCL1A_TSS	chr14	96179535	96180366	610	143	23.44	463	91	19.65	213	15	7.04	259	114	44.02
MYO1E_TSS	chr15	59658991	59671152	610	110	18.03	463	69	14.9	213	7	3.29	259	35	13.51
CIITA_TSS	chr16	10970795	10975465	610	253	41.48	463	187	40.39	213	3	1.41	259	18	6.95
SOCS1_intron-1	chr16	11347512	11350007	610	149	24.43	463	88	19.01	213	1	0.47	259	11	4.25
